Marker,Time_stamp
wait,79993.76734026567
wait,79993.76735016567
wait,79993.76736006567
wait,79993.76736986567
wait,79993.76737966567
wait,79993.76738966568
wait,79993.7673994657
wait,79993.7674093657
wait,79993.76741926569
wait,79993.7674289657
wait,79993.7674389657
wait,79993.7674486657
wait,79993.7674584657
wait,79993.76746836572
wait,79993.76747826573
wait,79993.76748806571
wait,79993.76749796573
wait,79993.76750786573
wait,79993.76751766574
wait,79993.76752756574
wait,79993.76753756576
wait,79993.76754746574
wait,79993.76755726575
wait,79993.76756716576
wait,79993.76757706577
wait,79993.76758686577
wait,79993.76759666578
wait,79993.76760626578
wait,79993.76761626577
wait,79993.76762636578
wait,79993.7676363658
wait,79993.7676462658
wait,79993.76765616579
wait,79993.7676659658
wait,79993.7676756658
wait,79993.76768576581
wait,79993.76769556581
wait,79993.76770556583
wait,79993.76771526583
wait,79993.76772556582
wait,79993.76773556584
wait,79993.76774566584
wait,79993.76776176583
wait,79993.76777206585
wait,79993.76778196586
wait,79993.76779216585
wait,79993.76785866589
wait,79993.76786966588
wait,79993.76787976589
wait,79993.76788976589
wait,79993.7678995659
wait,79993.76790976591
wait,79993.7679199659
wait,79993.7679299659
wait,79993.76794006593
wait,79993.76795066592
wait,79993.76796586592
wait,79993.76797836594
wait,79993.76799226594
wait,79993.76800536594
wait,79993.76801486596
wait,79993.76802436596
wait,79993.76803516595
wait,79993.76805486597
wait,79993.76807596597
wait,79993.76808966599
wait,79993.76810196598
wait,79993.768116166
wait,79993.768136766
wait,79993.76815436601
wait,79993.76816746601
wait,79993.76818646603
wait,79993.76820856602
wait,79993.76822116604
wait,79993.76823416604
wait,79993.76824516604
wait,79993.76825616606
wait,79993.76827006605
wait,79993.76828266607
wait,79993.76830226606
wait,79993.76832346608
wait,79993.76833846608
wait,79993.7683532661
wait,79993.7683647661
wait,79993.7683765661
wait,79993.76838896611
wait,79993.76840066611
wait,79993.76841456612
wait,79993.76842696613
wait,79993.76843896613
wait,79993.76844906613
wait,79993.76846076614
wait,79993.76847236614
wait,79993.76848306615
wait,79993.76849536615
wait,79993.76850946616
wait,79993.76853386617
wait,79993.76855426618
wait,79993.76857206618
